Filename,Document Name,Parties,Agreement Date,Effective Date,Renewal Term,Governing Law,Exclusivity,Post-Termination Services
HertzGroupRealtyTrustInc_20190920_S-11A_EX-10.8_11816941_EX-10.8_Trademark License Agreement.pdf,FORM OF TRADEMARK LICENSE AGREEMENT,"['HERTZ INVESTMENT GROUP, LLC', 'Licensor', '""Licensee"" and together with Licensor, the ""Parties""),', 'HERTZ GROUP REALTY TRUST, INC.']","['September ___, 2019']",09/[]/2019,[],California,[],[]
ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement.pdf,FORM OF TRADEMARK LICENSE AGREEMENT,"['Licensor', 'Licensee', 'ARCONIC ROLLED PRODUCTS CORP.', 'ARCONIC INC.']","['[ ] day of [ ], 2020 (']",[]/[]/2020,[],Delaware,[],[]
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.pdf,TRADEMARK LICENSE AGREEMENT,"['Licensor', 'Licensee', 'Morgan Stanley Direct Lending Fund', 'Morgan Stanley Investment Management Inc.']","['[·] day of [·], 2019']",[]/[]/2019,[],New York,[],[]
NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement.pdf,TRADEMARK LICENSE AGREEMENT,"['the ""Licensee""', 'NMF Senior Loan Fund I, Inc.', 'New Mountain Capital, L.L.C.', 'the ""Licensor""', 'The Licensor and the Licensee are sometimes referred to herein separately as a ""party"" and collectively as the ""parties.""']","['[·], 2019']",[]/[]/2019,[],New York,[],"['For twenty-four (24) months following termination of this Agreement, the Licensee shall specify on all public- facing materials in a prominent place and in prominent typeface that the Licensee is no longer operating under the Licensed Mark, is no longer associated with the Licensor, or such other notice as may be deemed necessary by the Licensor in its sole discretion in its prosecution, defense, and/or settlement of any Third Party Claim.']"
PalmerSquareCapitalBdcInc_20200116_10-12GA_EX-10.6_11949289_EX-10.6_Trademark License Agreement.pdf,TRADEMARK LICENSE AGREEMENT,"['Palmer Square Capital Management LLC', 'the ""Licensor""', 'the ""Licensee""', 'Palmer Square Capital BDC Inc.']","['[ ] day of [ ], 2020']",[]/[]/2020,[],New York,[],"['For twenty-four (24) months following termination of this Agreement, Licensee shall specify on all public-facing materials in a prominent place and in prominent typeface that Licensee is no longer operating under the Licensed Mark, is no longer associated with Licensor, or such other notice as may be deemed necessary by Licensor in its sole discretion in its prosecution, defense, and/or settlement of any Third Party Claim.']"
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.pdf,GAS TRANSPORTATION AGREEMENT,"['MRD Operating LLC', 'PennTex North Louisiana Operating, LLC', 'Customer', 'Transporter', 'Hereinafter, Transporter and Customer may sometimes be referred to collectively as the ""Parties"" and individually as a ""Party']","['14t h day of April, 2015']",4/14/15,"['This Agreement shall commence on the Effective Date and continue in full force and effect until the end of the fifteenth (15th) Contract Year, and shall continue in full force and effect thereafter until terminated by either Party by providing thirty (30) calendar days\' prior written notice of termination to the other Party (such fifteen (15) Contract Year period, as may be further extended as provided herein is referred to as the ""Term"").']",Texas,"['AMI/MEA Agreement"" shall mean that certain Amended and Restated Area of Mutual Interest and Midstream Exclusivity Agreement dated April 14, 2015 among PennTex North Louisiana, LLC, Customer, PennTex NLA Holdings, LLC and MRD WHR LA Midstream LLC, as such agreement may be amended, supplemented or otherwise modified from time to time.<omitted>During the Term, subject to the terms of the AMI/MEA Agreement, Customer dedicates and commits to this Agreement, and shall deliver or cause to be delivered to the Transportation System for transportation hereunder, all of Customer\'s owned or controlled residue Gas delivered from any of the Plants.']",[]
TcPipelinesLp_20160226_10-K_EX-99.12_9454048_EX-99.12_Transportation Agreement.pdf,TRANSPORTATION SERVICE AGREEMENT Contract Identification FT18150,"['Great Lakes Gas Transmission Limited Partnership', 'ANR PIPELINE COMPANY', 'Shipper', 'Transporter']","['December 14, 2015']",11-01-2016,[],Michigan,[],[]
RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement.pdf,TRANSPORTATION SERVICES AGREEMENT,"['Shipper and Carrier may be referred to individually as a ""Party,"" or collectively as the ""Parties.""', 'Carrier', 'Shipper', 'MRD Operating LLC', 'PennTex North Louisiana Operating, LLC']","['14t h day of April, 2015']",4/14/15,"['This Agreement shall commence on the Effective Date and continue in full force and effect until the end of the fifteenth (15th) Contract Year, and shall continue in full force and effect thereafter until terminated by either Party by providing thirty (30) calendar days\' prior written notice of termination to the other Party (such fifteen (15) Contract Year period, as may be further extended as provided herein is referred to as the ""Term"").']",Texas,[],[]
ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement.pdf,Road Transportation Agreement,"['Party A (Shipper): ZTO Express Co., Ltd.', 'Party B (Carrier): Tonglu Tongze Logistics Ltd.']","['December 22, 2014']",12/22/14,[],People's Republic of China,[],[]
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement.pdf,"CO-BRANDING, MARKETING AND DISTRIBUTION AGREEMENT","['ACSI', 'Audible Inc.', 'Amazon.com Commerce Services, Inc.', 'Company', 'ACSI and Company are sometimes referred to collectively herein as the ""Parties"" and individually as a ""Party.""']","['January 30, 2000']",1/30/00,[],Washington,"[""The Parties will issue a joint press release promptly upon concluding Advertising. this Agreement, which press release shall be subject to the Party's mutual approval, which shall in any event state that Company is the exclusive provider on the ACSI Site of premium spoken-word audio product for download or streaming over the world wide web."", 'During the Term, [***], ACSI will not offer or sell through the ACSI Site, or authorize any third party to sell through the ACSI Site, any Exclusive Spoken-Word Audio Products; [***].']","[""Upon any termination or expiration of the Term the Parties will cooperate in good faith to promote a smooth customer transition, and in any event, Company will, at ACSI's option, continue to operate the Mirror Company Site and offer Spoken-Word Audio Products through the Spoken-Word Audio Sub-Section in accordance with the terms of this Agreement for a period of up to six (6) months following such termination.""]"
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,CO-BRANDING AND ADVERTISING AGREEMENT,"['2THEMART.COM, INC.', '2TheMart', 'i-Escrow', 'I-ESCROW, INC.']","['June 21, 1999']",6/21/99,"['In the event that either party does not give such notice, the term of this Agreement shall be automatically renewed for another one (1) year.', 'A party wishing to renew this Agreement shall give the other party notice thereof no less than thirty (30) days before the expiration of the term then in effect.']",California,[],"['Notwithstanding the foregoing, unless this Agreement was terminated for a material breach, all provisions of this Agreement shall survive to the extent necessary for i-Escrow to complete any Customer transactions which are pending at the time of expiration or termination.']"
EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,"['Sponsor', 'Snap Technologies, Inc.', 'United Airlines, Inc.', 'Snap']","['June 8, 1999']",06-08-1999,[],California,"['During the Term, Snap will not grant any third party any right to sponsor any products or services in the Exclusive Category on or through the Snap Web Site.', 'For the avoidance of doubt, the parties acknowledge that the foregoing restriction applies only to persistent sponsorship placement as judged by Sponsor at its discretion, and not to run-of-site banner advertisements or other rotating promotional placements.']",[]
HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement.pdf,CO-BRANDING CONTENT AGREEMENT,"['HEALTHCENTRAL.COM INC.', 'MEDIALINX INTERACTIVE, L.P.', 'MLX', 'HCI']",['30th day of June 1999'],09-01-1999,[],"Ontario, Canada","['HCI shall not either directly or indirectly license or deliver content to or carry on or be engaged with any other Canadian portal web site, being a Web site which aggregates and markets a variety of content directed to multiple communities of interest and which offers products,\n\nSource: HEALTHCENTRAL COM, S-1/A, 11/8/1999\n\n\n\n\n\ntools and services to a broad base of Canadian end users.', 'During the Term of the Agreement, and subject to the following requirements respecting Canadian content levels as set out in paragraphs 3(f), (g) and (h), HCI shall be the exclusive health content partner in the health section of the Sympatico web site, provided however, that nothing contained herein shall prevent MediaLinx from entering into an agreement with other parties for: i) a health based web directory; or ii) other health related content whose content does not compete with the content contained on the Co-Branded Site; which in no event shall receive no more than one fifth (1/5th) of the promotion and which shall constitute no more than one fifth (1/5th) of the total health related content which resides on the home page of the Sympatico Health section.', 'If, at any time during the Term of this Agreement, HCI fails to meet the content requirements set out in paragraphs 3(f), (g) and (h), HCI shall no longer be entitled to be the exclusive health content partner in the health section of the Sympatico web site.']",[]
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,"['Impresse Corporation', 'VerticalNet, Inc.', 'VerticalNet', 'Impresse']","['March 3, 2000']",03-03-2000,[],Delaware,[],"[""During the term of this Agreement and for one year thereafter, VerticalNet shall have the right to appoint a certified public accountant to audit Impresse's financial records relating to such payment to verify the accuracy of Impresse's financial records in order to verify the amount of the payments owed and/or paid hereunder, but no more frequently than once per year.""]"
EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,"['ebix.com, Inc.', 'ebix', 'About', 'About.com, Inc.']","['19th day of January, 2001']",1/19/01,[],Illinois; New York,"['The Insurance Center shall be hosted solely by ebix and contained in an About Wrapper and ebix shall, during the Term, provide site maintenance services relative to the Insurance Center substantially as provided for the ebix Site from time to time, subject to the uptime requirements as set forth in Section 13.4  [TERMINATION AND SURVIVAL].', 'During the Term, ebix shall be the exclusive integrated online insurance provider in the Channels and Guide Sites listed in Section 3.1  [DEVELOPMENT, OPERATION AND ADMINISTRATIO...] above. [**]']",[]
InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,"['At Home Corporation (""Excite@Home"" or ""Excite"")', 'e-centives, Inc., (""Application Provider"" or ""e-centives"")']","['16th day of February, 2000']",2/16/00,[],California,[],"[""Upon termination of this Agreement for reasons other than a           relationship with an Excite@Home Named Competitor under Section           16.a.v., the parties will communicate with Program Members as follows:\n\n       i)   Excite@Home will email Program Members on e-centives' behalf up                to a maximum of two times. Consistent with other communications                envisioned during the Term of the Agreement, such mailings will                be branded Excite@Home but will alert Program Members that this                Agreement is to be terminated, the Co-Branded Application will<omitted>continue with e-centives branding, and Program Members will                continue as a participant in the e-centives service unless they                explicitly opt out.  The content and copy of such emails shall be                mutually agreed upon.\n\n       ii)  The first email will be exclusive to e-centives (i.e., it will                not mention similar services from Excite@Home or other third                parties) and will alert Program Members of the continuation of                the e-centives service directly from e-centives. Program Members                shall be further alerted that their membership in the e-centives                service shall continue unless they explicitly opt-out.                Excite@Home shall not promote competing services in such contact                or otherwise discourage Program Members from continuing to use                the e-centives service as provided directly by e-centives.\n\n       iii) The second email will not be exclusive to e-centives. It will                include the same e-centives alerts as in the first email, but may                offer a replacement Excite@Home service and a notification that                the Program Member will remain in such an Excite@Home-provided                service unless they specifically opt-out. Excite@Home shall not                discourage Program Members from continuing to use the e-centives                service directly from e-centives, but may offer an additional                choice. It is conceivable that any one end user customer could                use both services.\n\n       iv)  Any such communications will be subject to Excite@Home's                then-current privacy policy."", ""Effects of Termination<omitted>iii) For a period of up to sixty (60) days, Application Provider will           provide consulting services to Excite@Home, as Excite@Home may           reasonably request and for reasonable fees to be paid to Application           Provider, such fees to be agreed upon in writing by the Parties, to           assist Excite@Home in providing a seamless transition to Program           Members. Application Provider will have no obligation to provide such           services to Excite@Home to the extent that Application Provider's           personnel and resources are unavailable in the amounts requested by           Excite@Home or if the Parties are unable in good faith to agree on the           reasonable fees to be paid to Application Provider for such services.           Application Provider will not be required, in the course of providing           such consulting services to Excite@Home, to disclose or transfer to           Excite@Home any proprietary information, software, or Intellectual           Property of Application Provider or any of its merchant partners."", 'To further ensure a seamless transition for Program Members, in the           event of a termination based upon a material breach by e-centives or           an acquisition pursuant to Section 16.a.v. only, Application Provider           shall continue to host and maintain the Co-Branded Application for a           period of one hundred twenty (120) days following either receipt or           issuance of notice of intention to terminate this Agreement. Such           hosting and maintenance of the Co-Branded Application shall be           provided by Application Provider at such reasonable rates as are           mutually agreed upon by the parties.']"
LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,"['VerticalNet', 'LeadersOnline', 'VerticalNet, Inc.', '(each a ""Party"" and together the ""Parties"").', 'LeadersOnline, Inc.']","['March 15, 2000']",3/15/00,"['LeadersOnline shall have the option, subject to VerticalNet\'s approval exercised in its sole  and absolute discretion, to extend the Term of this Agreement for an additional 12 months (a ""Renewal Term"") on such terms and conditions as may be mutually agreed upon by the Parties.']",Pennsylvania,[],[]
NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,"['VerticalNet, Inc.', 'VerticalNet', 'Neoforma', 'Neoforma.com, Inc.']","['November 19, 1999']",11/19/99,"['This Agreement will automatically renew at the end of the Initial Term or a subsequent renewal term on a year to year basis (each, a ""Renewal Term""), unless either Party notifies the other at least 30 days prior to the end of the Initial Term or then current Renewal Term, as applicable, of its intention not to renew this Agreement (a ""Termination Notice"").']",Pennsylvania,"['Within 30 days after the Effective Date, Neoforma shall provide a copy of all Neoforma Laboratory Product Listings existing as of the Effective Date to VerticalNet for use on the VerticalNet Sites on an exclusive basis (even as to Neoforma), to the extent Neoforma has the right to do so.', 'Within 30 days after the Effective Date, VerticalNet shall provide a copy of all VerticalNet Medical Product Listings for New Medical Products existing as of the Effective Date to Neoforma for use on Neoforma Plan, Neoforma Shop and Neoforma Auction on an exclusive basis (even as to VerticalNet), to the extent VerticalNet has the right to do so.', 'Neoforma hereby grants VerticalNet an exclusive license to use, modify, enhance, reproduce, display, perform and transmit the Neoforma Career Content, subject to and in accordance with the terms, conditions and provisions of this Agreement.', 'Neoforma hereby grants VerticalNet an exclusive license, even as to Neoforma, to use, modify, enhance, reproduce, display, perform and transmit the Neoforma Laboratory Product Listings, subject to and in accordance with the terms, conditions and provisions of this Agreement, to the extent Neoforma has the right to do so.', 'Neoforma shall not place any Link on a Neoforma Site to, or a Neoforma Link on the Site of, any other provider or host of a service similar to the Co-Branded Training and Education Center or to any other training or education service websites.', 'From time to time during the Term, VerticalNet shall provide a copy of all VerticalNet Medical Product Listings received by VerticalNet after the Effective Date to Neoforma as such Product Listings are made available to VerticalNet for use on Neoforma Plan, Neoforma Shop and Neoforma Auction on an exclusive basis (even as to VerticalNet), to the extent VerticalNet has the right to do so.', 'During the Term, VerticalNet shall have the exclusive right to arrange for the sale of all advertising on the Co-Branded Sites, subject to reasonable approval of each such advertiser by Neoforma.', 'VerticalNet hereby grants Neoforma an exclusive license, even as to<omitted>VerticalNet, to use, modify, enhance, reproduce, display, perform and transmit the VerticalNet Medical Product Listings, subject to and in accordance with the terms, conditions and provisions of this Agreement, to the extent that VerticalNet has the right to do so.', 'Within 30 days after the Effective Date, VerticalNet shall provide a copy of all VerticalNet Medical Product Listings for Used and Excess Medical Products existing as of the Effective Date to Neoforma for use on Neoforma Plan, Neoforma Shop and Neoforma Auction on an exclusive basis (even as to VerticalNet), to the extent VerticalNet has the right to do so.', 'Neoforma hereby grants VerticalNet an exclusive license to use, modify, enhance, reproduce, display, perform and transmit the Neoforma T&E Content, subject to and in accordance with the terms, conditions and provisions of this Agreement.', 'Notwithstanding the foregoing, VerticalNet\'s activities in connection with its ""Storefronts"" and ""E-Commerce Centers"" (as conducted today, in a fashion substantially similar to the manner in which such activities are conducted today or as otherwise mutually agreed upon by the parties, which agreement shall not be unreasonably withheld or delayed) shall not be considered to be a breach of Section 2.1  [MEDICAL PRODUCTS], 2.2  [MEDICAL PRODUCTS] or 2.3  [MEDICAL PRODUCTS].']","['If a Termination Notice is sent, the parties shall promptly meet to discuss a phase-out of the Co-Branded Sites and all Links and transfers of Product Listings set forth herein.']"
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,"['PaperExchange', 'PaperExchange.com, LLC', 'VerticalNet, Inc.', 'VerticalNet']",[],9/30/99,"['This Agreement will automatically renew at the end of the Initial Term or a subsequent renewal term on a year to year basis (each, a ""Renewal Term""), unless either party notifies the other at least 30 days prior to the end of the Initial Term or then current Renewal Term, as applicable, of its intention not to renew this Agreement.']",Pennsylvania,"['PaperExchange shall retain the right to place advertisements for its own account on the remaining ***** of the Third Party Advertising Allocation; provided, however, that if any portion of such Third Party Advertising Allocation remains unsold 45 days after it becomes available for advertising, VerticalNet shall have the exclusive right to arrange for third party advertising on such unsold Third Party Advertising Allocation.', 'During the Term, VerticalNet shall have the exclusive right to arrange for the sale of ***** of the third party advertising inventory (which shall consist of a minimum of one advertisement per page on each of the ""Co-Branded Equipment,"" ""Co-Branded Careers,"" ""Resources"" and ""Home Page"" sections or successor, replacement or substitute sections) of the PaperExchange Site and shall be consistent with the amount of advertising on other business to business vertical sites on the PaperExchange Site (the ""Third Party Advertising Allocation"").', 'PaperExchange hereby grants VerticalNet an exclusive license to use, modify, enhance, reproduce, display, perform and transmit the PaperExchange Content, subject to and in accordance with the terms, conditions and provisions of this Agreement.']","[""Upon termination of this Agreement,<omitted>(b) VerticalNet shall be responsible for all charges, payments or expenses incurred by it in connection with the removal of the PaperExchange Links from Co-Branded Sites and the modification of the Co-Branded Sites, including, but not limited to, the removal of PaperExchange Content; (c) PaperExchange shall be responsible for all charges, payments or expenses incurred by it in connection with the removal of the VerticalNet Links, VerticalNet Content and VerticalNet Archived Content from the PaperExchange Site;<omitted>(i) VerticalNet shall retain ownership of the URLs at which the Co-Branded Sites are located, (I) the Co-Branded URLs shall be owned by the party that offers to pay the highest amount to the other for the ownership of such URLs upon payment of such amount to the other party (k) if the agreement is terminated during the Initial Term by VerticalNet pursuant to Section 8.2  [Termination for Cause], (x) VerticalNet shall be released from its obligations under Section 5.8.1  [Non-Competition] and (y) PaperExchange's obligations under Sections 7.2  [Advertising Revenue] and 7.4  [Revenue Sharing] shall be extended for one year after the date of such termination, and (I) if the agreement is terminated during the Initial Term by PaperExchange pursuant to Section 8.2  [Termination for Cause], VerticalNet shall pay to PaperExchange, as liquidated damages, an amount equal to the product determined by multiplying (1) a fraction, the numerator of which shall be the number of days between the effective date of termination and the scheduled expiration date of the Initial Term, and the denominator of which shall be the number of days<omitted>between the Effective Date and the scheduled expiration date of the Initial Term, by (2) *****""]"
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT                                      (FORM),"['NETTAXI', '""SpinRecords.com""  or  ""Client""', 'Solutions  Media,  Inc.,  dba SpinRecords.com', 'NETTAXI Online Communities, Inc.']","['Nov  5,  1999']",11-05-1999,"['This  Agreement  shall  be effective upon the<omitted>Effective Date and shall remain in force for a period of one (1) year, and shall be automatically renewed for successive periods of one (1) year unless otherwise terminated  as provided  herein.']",California,[],[]
RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,"['PlanetCAD Inc. (formerly known as Spatial Technology Inc.)', '(""Dassault Systemes"") and/or certain affiliates of Dassault Systemes,', 'PlanetCAD', 'Dassault Systemes', '(each a ""Party,"" together, the ""Parties"").']","['November 14, 2000']",11/14/00,['The Agreement shall automatically renew for successive one year additional terms unless terminated by either party at least six months prior to the expiration of the then-current term.'],New York,[],[]
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf,CO-BRANDING Agreement,"['The Boxlot Company', 'Boxlot', 'theglobe', 'theglobe.com, Inc.']","['March ___, 1999']",03/[]/1999,[],New York,[],[]
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,MANIFEST SYSTEM SERVICES AND CO-BRANDING AGREEMENT,"['MBE', 'iShip.com, Inc.', 'MAILBOXES ETC. USA, INC.', 'Mail                                                         ------- Boxes Etc. USA, Inc.', 'Company']","['April 27, 1999']",4/27/99,"['MBE shall have the right to elect by written notice to the Company at any time between two (2) and six (6) months prior to the end of such initial term or any subsequent Renewal Period (as defined below), to notify the Company that MBE elects to seek to extend such term for additional two (2)-year periods (each a ""Renewal Period"") In the event of such election, MBE and the Company shall have  -------------- a period of sixty (60) days in which to negotiate commercially reasonable Basic Fees, Bounty Fees and eBay Fees (and other applicable fees) (""Fee Schedule"")                                                               ------------ under which the Company would be willing to renew this Agreement for such Renewal Period.', 'If MBE notifies the Company of its intent to so renew prior to the end of such initial term or such Renewal Period, the term of this Agreement shall automatically be extended for the Renewal Period and, other than the Fee Schedule, all of the terms and conditions of this Agreement shall remain in full force and effect.']",California,"['The Company shall not enter into any agreement or arrangement,      including without limitation any sale, license, service agreement,      co-branding agreement, co-marketing agreement or linking agreement with any      provider of manifesting or shipping services through non-carrier retail      shipping locations; provided, however, that:\n\n               (A) the Company may provide listings of carrier drop-boxes or      carrier-owned counter drop-off locations specific to a particular carrier      (including, without limitation, locations within retail establishments) on      the Company Site, provided that such listings do not include retail      shipping locations, including UPS authorized shipping outlets, FedEx      authorized shipping centers and other commercial mail receiving agencies;      and\n\n               (B) the Company may enter into any such agreement or arrangement      so long as MBE is given advance written notice of such agreement or      arrangement and such agreement or arrangement prohibits the use of the      Manifest or any Company Technology to manifest or ship packages for retail      customers and provided further that Company terminates service to any such      entity that uses the Manifest or any Company Technology to serve retail      customers.', 'MBE shall not enter into any agreement or arrangement with any      provider of an online or Internet-based manifest system other than the      Company.']","['If this Agreement is terminated or expires in accordance with this Section 15 (other than termination by the Company in the event of an uncured material breach by MBE), then MBE shall have a period of up to twenty-four (24) months from and after the date of such termination, to make arrangements with respect to the conversion of the Service to a non-Company manifest system (the ""Termination Period"").', ""During the Termination Period, the Company will give reasonable cooperation and support to MBE to assure an orderly and efficient transition and, without limiting the generality of the foregoing, at MBE's expense, the Company shall be obligated to provide MBE with data reasonably necessary for MBE to convert or implement the non-Company systems, procedures and practices."", 'During the Termination Period each party will continue to perform its obligations hereunder, and MBE and MBE Centers will continue to pay any applicable fees and payments hereunder to the Company.', 'During the Termination Period and thereafter, and notwithstanding any other provision of this Agreement, MBE will be free to use its own personnel, and/or engage or contract with any third party to use the Specifications to design, develop and market an Internet-based manifest system similar to the Manifest (including products that contain functionality similar to the Service and which have a ""look and feel"" similar or identical to the Manifest), in each case solely for the benefit of MBE and the MBE Centers and international franchisees or licensees of MBE.']"
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,NETWORK AFFILIATE AGREEMENT,"['Digital Cinema Destinations Corp.', '""Network Affiliate"" and with  NCM, each a ""Party"" and collectively, the ""Parties""', 'NCM', 'National CineMedia, LLC']","['14th day of March, 2011']",[]/[]/[],[],Delaware,"[""Except as permitted by the  Exclusivity Exceptions, during the Term, Network Affiliate shall neither engage nor permit a third party (excluding third party designees of NCM as  provided hereunder) to provide, or itself provide, to any of Network Affiliate's theatres any of the services specifically set forth in the definition of  Service."", ""Subject only to the Exclusivity Exceptions, NCM shall be Network Affiliate's exclusive representative with respect to the procurement of  Inventory (including without limitation all on-screen advertising) for the Advertising Services."", 'During the Term, except as expressly provided in this Agreement, including Section  3.6 (Policy Trailer; Branded Slots); those provisions of Part A of Exhibit A that permit Network Affiliate to engage in certain Lobby Promotions;  Section 3.11 (Grand Openings, Employee Uniforms), collectively, the ""Exclusivity Exceptions"", Network Affiliate shall subscribe for and NCM shall  be the exclusive provider to the theatres of the services specifically set forth in the definition of the ""Service.""']","['Upon termination or expiration of this Agreement, and upon reasonable prior notice to Network  Affiliate, NCM shall be entitled to enter the Theatres upon reasonable prior written notice, and any other premises of Network Affiliate where any  NCM Property may be located, and recover any and all NCM Property, unless Network Affiliate chooses to purchase such Property based on a  straight line five year depreciated value.']"
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement.pdf,AFFILIATE AGREEMENT,"['LKPL', 'Axiometric', 'Link Plus Corporation', 'Axiometric, LLC']","['JULY 15, 2005']",7/15/05,[],Maryland,"['LKPL shall have the exclusive right to market and                            sell AMR Product Suites to entities whose corporate                            headquarters are physically located outside the                            United States and its territories.', 'Axiometric shall have the exclusive right to market                            and sell AMR Product Suites to entities whose                            corporate headquarters are physically located in the                            United States and U.S. territories with the exception                            of Datamatic as defined in 3.3.1 and 3.3.2 below', 'LKPL shall have the exclusive right to market and                            sell AMR Product Suites to Datamatic LTD, a Plano TX                            corporation (hereafter Datamatic).']",[]
SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.pdf,MARKETING AFFILIATE AGREEMENT,"['National Credit Report.com, LLC', 'Equidata, Inc.', 'Marketing Affiliate', 'Equidata']",['1s t day of October 2008'],10-01-2008,"['This Agreement shall be for the term of one year; thereafter, the Agreement shall renew automatically under these same  terms and agreements unless superceded by future agreements.']",Virginia,[],[]
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,CHARTER AFFILIATE AFFILIATION AGREEMENT,"['Network', 'The TUBE Music Network, Inc.', 'Affiliate', 'Tribune Broadcasting Company']","['6t h day of March, 2006']",03-06-2006,"['If the Term is renewed as described in Section 2(b), Network and Affiliate will negotiate exclusively and in good faith concerning further renewal of this Agreement upon mutually-agreed terms and conditions; provided, that unless Network and Affiliate otherwise agree in writing, the exclusive negotiation period will end six (6) months before the expiration of the Term.', 'If Affiliate fails to notify Network of its desire that this Agreement terminate on its expiration date, at least six (6) months before the expiration date, this Agreement will automatically renew, upon the same terms and conditions, for an additional four (4) -year period (""Renewal Term"").']",New York,"['If the Term is renewed as described in Section 2(b), Network and Affiliate will negotiate exclusively and in good faith concerning further renewal of this Agreement upon mutually-agreed terms and conditions; provided, that unless Network and Affiliate otherwise agree in writing, the exclusive negotiation period will end six (6) months before the expiration of the Term.', 'Network hereby grants to Affiliate the exclusive right via Broadcast Television, and Affiliate hereby accepts such exclusive right and the obligation during the Term to broadcast the Service via Broadcast Television (i) over the transmission facilities of each Station identified on Exhibit A, which is licensed by the FCC to serve the community for each such Station (the ""Licensed Community""), for receipt by TV Households in the DMA in which the Licensed Community is located, as such DMA is identified on Exhibit A, and (ii) over the transmission facilities of any Acquired Station, except to the extent that, as of the date Affiliate notifies Network in writing of its binding agreement to acquire such Acquired Station, (A) another Broadcast Television station in the same DMA as the Acquired Station has exclusive rights to broadcast the Service, or (B) the Acquired Station is obligated to broadcast other material that precludes it from also carrying the Service', 'If condition (A) or (B) applies, the Acquired Station shall have no obligations hereunder, and Network shall have the right to license the transmission of the Service to another Broadcast Television station in such DMA, including on an exclusive basis.']","['In the event that Network terminates this Agreement as to a particular Station or several Stations, or in its entirety pursuant to Sections 10(a) or (c), Affiliate shall, within thirty (30) days of termination, at its option either reimburse Network for the cost of all equipment or return such equipment related to such Station(s) that was paid for by Network pursuant to Section 5(b) herein.']"
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.pdf,ENDORSEMENT AGREEMENT,"['NFLA-NC', 'National Football League Alumni, Inc.', 'Gridiron BioNutrients™', 'NFLA', 'National Football League Alumni - Northern California Chapter', 'Food For Athletes, Inc', '(collectively the ""Company"").']","['October 30, 2017']",11-01-2017,[],California,['NFLA agrees not to grant the right to use the NFLAs Identification to anyone other than Company in connection with the advertisement and promotion of Products.'],"[""Company may liquidate and sell its inventory of Licensed Products (including any inventory then in production) for a period of ninety (90) days after the termination date of the Contract Period, subject to the Company's continued obligation to pay the Fee as provided above, and will deliver the Sales Report with respect to such liquidation sales within 30 days following the end of the first reached full quarter following termination.""]"
